,Company,Experience,Link,Location,Skills,Title
536,KONE Elevator India Pvt. Ltd,4-9 yrs,https://www.naukri.com/job-listings-System-Analyst-c-KONE-Elevator-India-Pvt-Ltd-Chennai-4-to-9-years-270519000378?src=jobsearchDesk&sid=15614536206484&xp=45&px=11,Chennai,"C++, CPP, OOPS, Object Oriented Programming, Data Analyst, VB",System Analyst- (c++)
537,AthenaHealth Technology Private Limited.,3-6 yrs,https://www.naukri.com/job-listings-Technical-Project-Analyst-Implementation-US-Healthcare-AthenaHealth-Technology-Private-Limited-Chennai-3-to-6-years-230419000547?src=jobsearchDesk&sid=15614536206484&xp=46&px=11,Chennai,"data analysis, data cleansing, data integration, project management...",Technical Project Analyst ( Implementation - US Healthcare)
538,eClerx Services Ltd.,3-5 yrs,https://www.naukri.com/job-listings-Analyst-qlikview-and-SQL-eClerx-Services-Ltd-Mumbai-3-to-5-years-210519006467?src=jobsearchDesk&sid=15614536206484&xp=47&px=11,Mumbai,"SQL, Data Analysis, QlikView, Dashboards, Interfaces, Charts",Analyst (qlikview and SQL)
539,GlobalData,2-7 yrs,https://www.naukri.com/job-listings-Analyst-Sr-Analyst-Technology-market-Research-Role-GlobalData-Hyderabad-2-to-7-years-200319007516?src=jobsearchDesk&sid=15614536206484&xp=48&px=11,Hyderabad,"secondary research, market research, data analysis, market data...",Analyst / Sr. Analyst - Technology  (market Research Role)
540,GD Research Center Pvt Ltd,1-5 yrs,https://www.naukri.com/job-listings-Analyst-Consumer-Data-Project-Market-Research-GD-Research-Center-Pvt-Ltd-Hyderabad-1-to-5-years-180718008543?src=jobsearchDesk&sid=15614536206484&xp=49&px=11,Hyderabad,"secondary research, market research, data analysis, market data, database...",Analyst - Consumer Data Project ( Market Research)
541,Medline Industries India Private Limited,3-6 yrs,https://www.naukri.com/job-listings-Warehouse-Operations-Analyst-I-Medline-Industries-India-Private-Limited-Pune-3-to-6-years-080319007113?src=jobsearchDesk&sid=15614536206484&xp=50&px=11,Pune,"Logistics, Operations Management, Warehouse Operations, Business Operations...",Warehouse Operations Analyst I
542,AECOM India Private Limited,4-7 yrs,https://www.naukri.com/job-listings-Project-Controls-Analyst-I-AECOM-India-Private-Limited-Bengaluru-4-to-7-years-060619901495?src=jobsearchDesk&sid=15614536228797&xp=1&px=12,Bengaluru,"Finance, Budgeting, Project Reports, Purchase Order, Change Management...",Project Controls Analyst I
543,CASEPOINT PRIVATE LIMITED,0-5 yrs,https://www.naukri.com/job-listings-Ediscovery-Analyst-CASEPOINT-PRIVATE-LIMITED-Pune-Surat-0-to-5-years-060619005926?src=jobsearchDesk&sid=15614536228797&xp=2&px=12,"Pune, Surat","MS SQL, VBA, Data Analysis, MS Access, Data Processing, Data Migration...",Ediscovery Analyst
544,EAGLE ELECTRONICS INDIA PVT LTD,2-5 yrs,https://www.naukri.com/job-listings-MIS-Executive-EAGLE-ELECTRONICS-INDIA-PVT-LTD-Nasik-2-to-5-years-060619000200?src=jobsearchDesk&sid=15614536228797&xp=3&px=12,Nasik,"MIS Reporting, Data Entry, Data Analysis, Reporting, Record Keeping...",MIS Executive
545,Aegis Customer Support Services Private Limited.,1-3 yrs,https://www.naukri.com/job-listings-Senior-Executive-MIS-Reporting-Aegis-Customer-Support-Services-Private-Limited-Mumbai-1-to-3-years-050619004297?src=jobsearchDesk&sid=15614536228797&xp=4&px=12,Mumbai,"analytical skills, mis, monthly reports, mis reporting, mis executive...",Senior Executive - MIS & Reporting
546,Zyxware Technologies Private Limited,5-8 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-Digital-E-commerce-Zyxware-Technologies-Private-Limited-Trivandrum-5-to-8-years-040619008219?src=jobsearchDesk&sid=15614536228797&xp=5&px=12,Trivandrum,"user stories, gap analysis, digital analytics, project management...",Senior Business Analyst - Digital & E-commerce
547,"Applicantz, Inc.",2-7 yrs,https://www.naukri.com/job-listings-Business-Analyst-Code-Tivsxt-Applicantz-Inc-Bengaluru-2-to-7-years-030619005074?src=jobsearchDesk&sid=15614536228797&xp=6&px=12,Bengaluru,"Requirement Gathering, Business Analysis, SQL, Tableau, Data Analysis...",Business Analyst ( Job Code - Tivsxt )
548,Quadrant Resources Pvt Ltd,1-6 yrs,https://www.naukri.com/job-listings-Web-Data-Analyst-Quadrant-Resources-Pvt-Ltd-Hyderabad-1-to-6-years-030619002229?src=jobsearchDesk&sid=15614536228797&xp=7&px=12,Hyderabad,"Web Data Analyst, Microsoft UHRS, Universal Human Relevance System...",Web Data Analyst
549,Adglobal360,2-7 yrs,https://www.naukri.com/job-listings-DATA-ANALYST-SR-DATA-ANALYST-Adglobal360-Gurgaon-2-to-7-years-210518500284?src=jobsearchDesk&sid=15614536228797&xp=8&px=12,Gurgaon,"SQL, MySQL, Python, Business intelligence, microsoft, QlikView...",DATA ANALYST / SR. DATA ANALYST
550,GreatLearning,1-6 yrs,https://www.naukri.com/job-listings-Data-Science-Analyst-GreatLearning-Gurgaon-1-to-6-years-060918500993?src=jobsearchDesk&sid=15614536228797&xp=9&px=12,Gurgaon,"Data modeling, data science, Statistical analysis, Data analytics, Python...",Data Science Analyst
551,T-Systems Information and Communication Technology India Private Limited,4-9 yrs,https://www.naukri.com/job-listings-Urgent-Opening-for-Pricing-Analyst-T-Systems-Information-and-Communication-Technology-India-Private-Limited-Pune-Shivaji-Nagar-4-to-9-years-240519000611?src=jobsearchDesk&sid=15614536228797&xp=10&px=12,Pune(Shivaji Nagar),"Excel, Powerpoint, Pricing Analysis, MS Office, Business Case...",Urgent Opening for Pricing Analyst
552,The IT Mind services,5-10 yrs,https://www.naukri.com/job-listings-Data-Warehousing-Analyst-Hyderabad-Location-Permanent-The-IT-Mind-services-Hyderabad-Saudi-Arabia-5-to-10-years-230519003016?src=jobsearchDesk&sid=15614536228797&xp=11&px=12,"Hyderabad, Saudi Arabia","design development, data warehousing, data analysis...",Data Warehousing Analyst - Hyderabad Location Permanent
553,Silverskills Private Limited,4-6 yrs,https://www.naukri.com/job-listings-Hiring-24-27-Jun-Executive-Sr-Executive-MIS-Silverskills-Gurgaon-Silverskills-Private-Limited-Gurgaon-4-to-6-years-070619005246?src=jobsearchDesk&sid=15614536228797&xp=12&px=12,Gurgaon,"Data Analysis, Data Mining, MIS, Management Reporting, Workflow Management,...","Hiring 24-27 Jun Executive/ Sr. Executive- MIS @ Silverskills, Gurgaon"
554,GlobalLogic Technologies Limited,1-3 yrs,https://www.naukri.com/job-listings-Urgent-Need-Financial-mis-Executive-GlobalLogic-Technologies-Limited-Hyderabad-1-to-3-years-041218010884?src=jobsearchDesk&sid=15614536228797&xp=13&px=12,Hyderabad,"VLOOKUP, Countif, Excel, Pivot Table, HLOOKUP, Formulas, MIS Reporting...",Urgent Need - Financial/mis Executive
555,Lowe's Services India Private limited,4-9 yrs,https://www.naukri.com/job-listings-Senior-Analyst-FP-A-Lowe-s-Services-India-Private-limited-Bengaluru-4-to-9-years-030519900802?src=jobsearchDesk&sid=15614536228797&xp=14&px=12,Bengaluru,"SAS SQL, Excel, Data Collection, Macros, VBA, Data Analysis...",Senior Analyst FP&A
556,Cvent India Pvt. Ltd.,3-5 yrs,https://www.naukri.com/job-listings-Analyst-Digital-Analytics-adobe-Analytics-Cvent-India-Pvt-Ltd-Gurgaon-Cyber-City-3-to-5-years-020519003288?src=jobsearchDesk&sid=15614536228797&xp=15&px=12,Gurgaon(Cyber City),"Adobe Analytics, Sitecatalyst, Omniture, Digital Analytics, Sales, Excel...","Analyst, Digital Analytics - (adobe Analytics)"
557,CARS24 SERVICES PRIVATE LIMITED,1-2 yrs,https://www.naukri.com/job-listings-Product-Analyst-CARS24-SERVICES-PRIVATE-LIMITED-Gurgaon-1-to-2-years-010519002622?src=jobsearchDesk&sid=15614536228797&xp=16&px=12,Gurgaon,"Customer Analytics, Advanced Excel, Data Analysis, SQL, Dashboards, MIS...",Product Analyst
558,Emploi Consultancy,2-6 yrs,https://www.naukri.com/job-listings-Supply-Chain-Analyst-Emploi-Consultancy-Bengaluru-2-to-6-years-310119006366?src=jobsearchDesk&sid=15614536228797&xp=17&px=12,Bengaluru,"Supply Chain Analyst, Supply Chain, Distribution, Transportation, Analyst...",Supply Chain Analyst
559,TVS Credit Services Limited,6-8 yrs,https://www.naukri.com/job-listings-Credit-Risk-Analyst-TVS-Credit-Services-Limited-Chennai-Nungambakkam-6-to-8-years-300419007435?src=jobsearchDesk&sid=15614536228797&xp=18&px=12,Chennai(Nungambakkam),"credit policy, credit risk analysis, statistical modeling, data analysis...",Credit Risk Analyst
560,Creative Influence,5-10 yrs,https://www.naukri.com/job-listings-Business-Analyst-Work-from-Home-Creative-Influence-Hyderabad-Kolkata-Bengaluru-5-to-10-years-300319000211?src=jobsearchDesk&sid=15614536228797&xp=19&px=12,"Hyderabad, Kolkata, Bengaluru","Financial Analysis, Finance, Project Management, Mathematics...",Business Analyst - Work from Home
561,Biostadt India Limited,4-9 yrs,https://www.naukri.com/job-listings-Manager-Market-Research-Business-Analyst-Biostadt-India-Limited-Mumbai-4-to-9-years-300119004664?src=jobsearchDesk&sid=15614536228797&xp=20&px=12,Mumbai,"business analysis, business analytics, market analysis, market intelligence...",Manager - Market Research & Business Analyst
562,RBS SERVICES INDIA PRIVATE LIMITED,3-6 yrs,https://www.naukri.com/job-listings-Senior-Analyst-II-Data-Management-RBS-SERVICES-INDIA-PRIVATE-LIMITED-Chennai-3-to-6-years-290519903422?src=jobsearchDesk&sid=15614536228797&xp=21&px=12,Chennai,"Data Management, Credit Derivatives, Equities Derivatives",Senior Analyst II- Data Management
563,Syngene,6-10 yrs,https://www.naukri.com/job-listings-Business-Analyst-IT-Syngene-India-6-to-10-years-290419900459?src=jobsearchDesk&sid=15614536228797&xp=22&px=12,India,"Pharma, Business strategy, CRO, Data analysis, Business process...",Business Analyst  -  IT
564,BMC Software India Pvt. Ltd,2-4 yrs,https://www.naukri.com/job-listings-Tableau-and-Reporting-Analyst-BMC-Software-India-Pvt-Ltd-Pune-2-to-4-years-250519900101?src=jobsearchDesk&sid=15614536228797&xp=23&px=12,Pune,"Business Analysis, Project Management, Business Intelligence, Dashboards...",Tableau and Reporting Analyst
565,Xitadel Cae Technologies India Private Limited,4-6 yrs,https://www.naukri.com/job-listings-VSVE-Loads-Analyst-Xitadel-Cae-Technologies-India-Private-Limited-Bengaluru-4-to-6-years-240519901772?src=jobsearchDesk&sid=15614536228797&xp=24&px=12,Bengaluru,"Simulink, C, MATLAB, Fortran, Adams, Design, Fatigue, Altair, MS Office...",VSVE - Loads Analyst
566,Huquo Consulting Pvt. Ltd,4-6 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-Data-Analytics-data-Insights-Generation-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-4-to-6-years-231118900522?src=jobsearchDesk&sid=15614536228797&xp=25&px=12,Delhi NCR,"Data Analytics, Data Insights Generation, Business Analyst...",Senior Business Analyst - Data Analytics/data Insights Generation
567,Deloitte Consulting India Private Limited,2-4 yrs,https://www.naukri.com/job-listings-Analyst-Deloitte-Insights-LSHC-Deloitte-Consulting-India-Private-Limited-Mumbai-2-to-4-years-220519900640?src=jobsearchDesk&sid=15614536228797&xp=26&px=12,Mumbai,"Secondary Research, Research Analysis, Qualitative, Data Analysis, Finance,...",Analyst - Deloitte Insights - LSHC
568,Huquo Consulting Pvt. Ltd,4-8 yrs,https://www.naukri.com/job-listings-Model-Validation-Analyst-Consulting-Firm-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-Gurgaon-4-to-8-years-210619901795?src=jobsearchDesk&sid=15614536228797&xp=27&px=12,"Delhi NCR, Gurgaon","Risk Analytics, Risk Management, Risk Modeling, Loss Forecasting, SAS, VaR,...",Model Validation Analyst - Consulting Firm
569,Huquo Consulting Pvt. Ltd,2-7 yrs,https://www.naukri.com/job-listings-Senior-Business-Analyst-Risk-Modelling-CCAR-Basel-sas-Huquo-Consulting-Pvt-Ltd-Gurgaon-2-to-7-years-210619901781?src=jobsearchDesk&sid=15614536228797&xp=28&px=12,Gurgaon,"CCAR, Basel, SAS, Statistics, Risk Modeling, Risk Analytics, Analytics...",Senior Business Analyst - Risk Modelling - CCAR & Basel/sas
570,Huquo Consulting Pvt. Ltd,3-4 yrs,https://www.naukri.com/job-listings-Senior-Analyst-Analytics-Credit-Risk-Management-banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-3-to-4-years-210619900455?src=jobsearchDesk&sid=15614536228797&xp=29&px=12,Gurgaon,"Analytics, Data Analytics, Consulting - BFSI, SAS, SQL, Statistics...",Senior Analyst - Analytics - Credit Risk Management/banking Domain
571,Medline Industries India Private Limited,4-8 yrs,https://www.naukri.com/job-listings-BI-Systems-Analyst-composite-Medline-Industries-India-Private-Limited-Pune-4-to-8-years-200918002566?src=jobsearchDesk&sid=15614536228797&xp=30&px=12,Pune,"SQL, ETL, Data Modeling, Tableau, Data Warehousing, Talend, Reporting Tools...",BI Systems Analyst (composite)
572,CRISIL LIMITED,3-6 yrs,https://www.naukri.com/job-listings-Equity-Research-Analyst-CRISIL-LIMITED-Pune-3-to-6-years-200519003265?src=jobsearchDesk&sid=15614536228797&xp=31&px=12,Pune,"Sell Side, Equity Research, Financial Modelling, Finance, Research Analysis...",Equity Research Analyst
573,Whirlpool of India Ltd,4-6 yrs,https://www.naukri.com/job-listings-Deputy-Manager-Warranty-Analyst-Gurgaon-Whirlpool-of-India-Ltd-Gurgaon-4-to-6-years-140519001293?src=jobsearchDesk&sid=15614536228797&xp=32&px=12,Gurgaon,"Warranty Analysis, ETL, Data Analysis, SAS, SAP BW, Quality Management...","Deputy Manager - Warranty Analyst, Gurgaon"
574,Confidential,7-12 yrs,https://www.naukri.com/job-listings-Senior-QA-Analyst-SAP-Testing-Wolters-Kluwer-Chennai-Location-Confidential-Chennai-7-to-12-years-070718000175?src=jobsearchDesk&sid=15614536228797&xp=33&px=12,Chennai,"functional testing, soap ui, sql queries, quality assurance, qa analysis...",Senior QA Analyst [SAP Testing] @ Wolters Kluwer - Chennai Location
575,Birlasoft (India) Limited,4-5 yrs,https://www.naukri.com/job-listings-Business-Analyst-Insurance-Birlasoft-India-Limited-Noida-4-to-5-years-070519901429?src=jobsearchDesk&sid=15614536228797&xp=34&px=12,Noida,"use cases, requirement gathering, general insurance, reinsurance...",Business Analyst- Insurance
576,JIBE DEVELOPMENT SERVICES PRIVATE LIMITED,2-5 yrs,https://www.naukri.com/job-listings-Opening-for-the-Position-of-PMS-Analyst-JIBE-DEVELOPMENT-SERVICES-PRIVATE-LIMITED-Navi-Mumbai-2-to-5-years-040519001144?src=jobsearchDesk&sid=15614536228797&xp=35&px=12,Navi Mumbai,"mechanical engineering, marine engineering, quality inspection...",Opening for the Position of PMS Analyst
577,Lowe's Services India Private limited,7-8 yrs,https://www.naukri.com/job-listings-Lead-Analyst-FP-A-Lowe-s-Services-India-Private-limited-Bengaluru-7-to-8-years-030519900794?src=jobsearchDesk&sid=15614536228797&xp=36&px=12,Bengaluru,"Analytics, Data Analysis, Business Intelligence, Performance Analysis, Root...",Lead Analyst - FP&A
578,Lowe's Services India Private limited,4-6 yrs,https://www.naukri.com/job-listings-Senior-Analyst-FP-A-Cost-Decomp-Lowe-s-Services-India-Private-limited-Bengaluru-4-to-6-years-030519900760?src=jobsearchDesk&sid=15614536228797&xp=37&px=12,Bengaluru,"secondary research, data analysis, analyst, SQL, SAS, finance, FP&A",Senior Analyst - FP&A - Cost Decomp
579,Techera IT Consulting,5-10 yrs,https://www.naukri.com/job-listings-Web-Analyst-Adobe-google-Analytics-Techera-IT-Consulting-Pune-5-to-10-years-010519901007?src=jobsearchDesk&sid=15614536228797&xp=38&px=12,Pune,"Web Analytics, Google Analytics, Adobe Analytics, Data Analysis, SEM, SEO...",Web Analyst - Adobe/google Analytics
580,Bis Research Private Limited,4-6 yrs,https://www.naukri.com/job-listings-Lead-Analyst-Bis-Research-Private-Limited-Noida-4-to-6-years-010519001689?src=jobsearchDesk&sid=15614536228797&xp=39&px=12,Noida,"Primary Research, Data Analysis, Sales, Qualitative, Quantitative...",Lead Analyst
581,UFLEX CHEMICALS,8-12 yrs,https://www.naukri.com/job-listings-Business-Analyst-sr-business-Analyst-UFLEX-CHEMICALS-Noida-8-to-12-years-010419003183?src=jobsearchDesk&sid=15614536228797&xp=40&px=12,Noida,"trend analysis, business analysis, marketing analytics, competitor analysis...",Business Analyst/sr.business Analyst
582,RMS CONSULTANCY SERVICES,2-7 yrs,https://www.naukri.com/job-listings-E-commerce-Data-Analyst-Suraaj-Linens-RMS-CONSULTANCY-SERVICES-Mumbai-Lower-Parel-2-to-7-years-220619003478?src=jobsearchDesk&sid=15614536228797&xp=41&px=12,Mumbai(Lower Parel),"data analysis, mis reporting, SQL, Macros, Advanced Excel",E-commerce - Data Analyst @ Suraaj Linens
583,Collabera Technologies Private Limited,1-5 yrs,https://www.naukri.com/job-listings-Data-Analyst-Collabera-Technologies-Private-Limited-Bengaluru-1-to-5-years-220619001993?src=jobsearchDesk&sid=15614536228797&xp=42&px=12,Bengaluru,"sql queries, advanced excel, macros, java, mis, data analysis, vb...",Data Analyst
584,IFANglobal India Pvt. Ltd.,2-5 yrs,https://www.naukri.com/job-listings-Data-Analyst-Required-for-Noida-IFANglobal-India-Pvt-Ltd-Noida-2-to-5-years-210619004621?src=jobsearchDesk&sid=15614536228797&xp=43&px=12,Noida,"Excel, Data Analysis, mis, data anlyst, Pivot Table, MS excel, Dashboards...",Data Analyst Required for Noida
585,Orcapod Consulting Services Private Limited,0-2 yrs,https://www.naukri.com/job-listings-Data-Entry-Operator-Data-Analyst-Orcapod-Consulting-Services-Private-Limited-Noida-0-to-2-years-210619003548?src=jobsearchDesk&sid=15614536228797&xp=44&px=12,Noida,"word, data, data entry, data entry operator, back office executive","Data Entry Operator, Data Analyst"
586,OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,3-4 yrs,https://www.naukri.com/job-listings-Looking-For-HR-MIS-Executive-OCWEN-FINANCIAL-SOLUTIONS-PRIVATE-LIMITED-Bengaluru-3-to-4-years-200619006945?src=jobsearchDesk&sid=15614536228797&xp=45&px=12,Bengaluru,"Excel, VBA, Macros, Charts, Statistical Analysis, Metrics Analysis...",Looking For || HR MIS Executive
587,Genius Consultants Limited,3-6 yrs,https://www.naukri.com/job-listings-Urgent-Hiring-for-Mis-reporting-data-Analyst-Service-Industry-Genius-Consultants-Limited-Delhi-NCR-Noida-3-to-6-years-190619008776?src=jobsearchDesk&sid=15614536228797&xp=46&px=12,"Delhi NCR, Noida","MIS, Data Analyst, Reporting, MS Access, Advanced Excel",Urgent Hiring for Mis/reporting/data Analyst - Service Industry
588,Alp Consulting Limited,4-7 yrs,https://www.naukri.com/job-listings-Hiring-Install-base-data-Analyst-for-CMMI-Level-5-Organization-Pune-Alp-Consulting-Limited-Pune-4-to-7-years-180619005477?src=jobsearchDesk&sid=15614536228797&xp=47&px=12,Pune,"Office 365, High Availability, Active Directory, Disaster Recovery, Problem...",Hiring Install base data Analyst for CMMI Level 5 Organization || Pune
589,PeopleStrong HR Services Pvt. Ltd.,4-6 yrs,https://www.naukri.com/job-listings-Manager-Sr-Manager-Data-Analyst-Noida-Ecommerce-PeopleStrong-HR-Services-Pvt-Ltd-Noida-4-to-6-years-180619003719?src=jobsearchDesk&sid=15614536228797&xp=48&px=12,Noida,"SQL, Excel, Statistical Programming, R, Data Analysis, Power Bi...",Manager/ Sr. Manager - Data Analyst || Noida || Ecommerce
590,Talent Pursuits,4-9 yrs,https://www.naukri.com/job-listings-Data-business-Analyst-Talent-Pursuits-Chennai-Pune-4-to-9-years-180619001640?src=jobsearchDesk&sid=15614536228797&xp=49&px=12,"Chennai, Pune","data analyst, business analyst",Data/business Analyst
591,TechKnowledgey Pte Ltd,1-3 yrs,https://www.naukri.com/job-listings-Business-Intelligence-Analyst-TechKnowledgey-Pte-Ltd-Singapore-1-to-3-years-070619000227?src=jobsearchDesk&sid=15614536228797&xp=50&px=12,Singapore,"Sales Management, SQL Queries, Python, Java, Business Intelligence...",Business Intelligence Analyst
592,OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,3-7 yrs,https://www.naukri.com/job-listings-Looking-For-HRIS-Analyst-OCWEN-FINANCIAL-SOLUTIONS-PRIVATE-LIMITED-Bengaluru-3-to-7-years-200619007123?src=jobsearchDesk&sid=15614536234655&xp=1&px=13,Bengaluru,"hr processes, providing training, data integrity, data analytics...",Looking For || HRIS Analyst
593,Huquo Consulting Pvt. Ltd,1-3 yrs,https://www.naukri.com/job-listings-Business-Analyst-Consulting-Firm-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-1-to-3-years-180619901480?src=jobsearchDesk&sid=15614536234655&xp=2&px=13,Delhi NCR,"Analytics, Business Analysis, SQL, Data Analytics, Data Management",Business Analyst - Consulting Firm
594,LENSKART SOLUTIONS PRIVATE LIMITED,1-5 yrs,https://www.naukri.com/job-listings-Walk-In-21st-June-Friday-Lenskart-is-Hiring-for-a-Business-Analyst-LENSKART-SOLUTIONS-PRIVATE-LIMITED-Faridabad-1-to-5-years-180619006141?src=jobsearchDesk&sid=15614536234655&xp=3&px=13,Faridabad,"Tableau, Business Analysis, Data Warehousing, Business Intelligence...","Walk In(21st June, Friday) : Lenskart is Hiring for a Business Analyst"
595,Varite India Pvt. Ltd.,4-6 yrs,https://www.naukri.com/job-listings-Data-Analyst-4-6-year-Noida-Varite-India-Pvt-Ltd-Noida-Greater-Noida-4-to-6-years-270519002803?src=jobsearchDesk&sid=15614536234655&xp=4&px=13,"Noida, Greater Noida","hive, hadoop, pig, big data, sql queries, data mining, data analysis...",Data Analyst : 4-6 year : Noida
596,Careernet Technologies Pvt Ltd,12-18 yrs,https://www.naukri.com/job-listings-Hiring-for-Big-Data-Analyst-Bangalore-Careernet-Technologies-Pvt-Ltd-Bengaluru-12-to-18-years-180219008003?src=jobsearchDesk&sid=15614536234655&xp=5&px=13,Bengaluru,"sas, hadoop, r, hive, sql, machine learning, time series...",Hiring for Big Data Analyst - Bangalore
597,Medi Assist Insurance TPA Pvt. Ltd,3-5 yrs,https://www.naukri.com/job-listings-MIS-Analyst-Senior-Executive-Team-Leader-Medi-Assist-Insurance-TPA-Pvt-Ltd-Chennai-Aminjikarai-3-to-5-years-110619008459?src=jobsearchDesk&sid=15614536234655&xp=6&px=13,Chennai(Aminjikarai),"Excel, Macros, VBA, MIS, Reporting, Charts, Powerpoint, Data Extraction...",MIS Analyst - Senior Executive / Team Leader
598,Hands ON Consulting LLP,5-10 yrs,https://www.naukri.com/job-listings-Systematic-Review-Data-Analyst-Scientist-Hands-ON-Consulting-LLP-Hyderabad-5-to-10-years-060619001618?src=jobsearchDesk&sid=15614536234655&xp=7&px=13,Hyderabad,"systematic review, meta analysis, clinical research...",Systematic Review Data Analyst / Scientist
599,Brand Realty Services,0-2 yrs,https://www.naukri.com/job-listings-Data-Analyst-Brand-Realty-Services-Delhi-NCR-Noida-Sector-18-Noida-0-to-2-years-280519002950?src=jobsearchDesk&sid=15614536234655&xp=8&px=13,"Delhi NCR, Noida(Sector-18 Noida)","Data Analyst, Analyst, Computer Science, Stock Trader, Stock Market...",Data Analyst
600,Zenatix,1-2 yrs,https://www.naukri.com/job-listings-Data-Analyst-Zenatix-Gurgaon-haryana-1-to-2-years-110418500168?src=jobsearchDesk&sid=15614536234655&xp=9&px=13,"Gurgaon, haryana","Tools, Analytical, Email, Operations, Machine learning, Python...",Data Analyst
601,Sanmax Technologies (P) Limited,8-10 yrs,https://www.naukri.com/job-listings-Senior-Data-Analyst-Sanmax-Technologies-P-Limited-Jaipur-8-to-10-years-290617501215?src=jobsearchDesk&sid=15614536234655&xp=10&px=13,Jaipur,"Oracle, Perl, Db2, Informatica, Datastage, Python, Production support...",Senior Data Analyst
602,Zenatix,1-5 yrs,https://www.naukri.com/job-listings-Data-Analyst-Zenatix-Gurgaon-Chandigarh-haryana-1-to-5-years-271118502276?src=jobsearchDesk&sid=15614536234655&xp=11&px=13,"Gurgaon, Chandigarh, haryana","Billing, Analytical, Python, Operations, Machine learning, Data Analyst...",Data Analyst
603,Simility,2-7 yrs,https://www.naukri.com/job-listings-Data-Analyst-2-Simility-Hyderabad-2-to-7-years-261118500245?src=jobsearchDesk&sid=15614536234655&xp=12&px=13,Hyderabad,"C++, SQL, PHP, Unix, Linux, Perl, Python, Troubleshooting, Coding...",Data Analyst 2
604,ISB,2-6 yrs,https://www.naukri.com/job-listings-Teaching-Associate-Data-Analyst-Data-Scientist-ISB-Hyderabad-2-to-6-years-230419500703?src=jobsearchDesk&sid=15614536234655&xp=13&px=13,Hyderabad,"Computer science, Oracle, MySQL, Analytical, SAS, Logistics, Python...",Teaching Associate / Data Analyst / Data Scientist
605,DLabs at the Indian School of Business,2-6 yrs,https://www.naukri.com/job-listings-Teaching-Associate-Data-Analyst-Data-Scientist-DLabs-at-the-Indian-School-of-Business-Hyderabad-2-to-6-years-230419500442?src=jobsearchDesk&sid=15614536234655&xp=14&px=13,Hyderabad,"Computer science, Oracle, MySQL, Analytical, SAS, Logistics, Python...",Teaching Associate / Data Analyst / Data Scientist
606,StartApp,3-8 yrs,https://www.naukri.com/job-listings-Business-Data-Analyst-StartApp-Bengaluru-3-to-8-years-190419500518?src=jobsearchDesk&sid=15614536234655&xp=15&px=13,Bengaluru,"SQL, Business analysis, Analytical, Computer science, Microstrategy, Python...",Business Data Analyst
607,Ressex,0-5 yrs,https://www.naukri.com/job-listings-DATA-ANALYST-Ressex-Mumbai-0-to-5-years-160218501558?src=jobsearchDesk&sid=15614536234655&xp=16&px=13,Mumbai,"Data Analyst, SQL, Process improvement, Data collection, Python...",DATA ANALYST
608,Zen Technologies,3-7 yrs,https://www.naukri.com/job-listings-Data-Analyst-Zen-Technologies-Hyderabad-3-to-7-years-160119502299?src=jobsearchDesk&sid=15614536234655&xp=17&px=13,Hyderabad,"Python, MATLAB, Data analysis, Packaging, Machine learning, Data Analyst...",Data Analyst
609,SCIO Health Analytics,3-5 yrs,https://www.naukri.com/job-listings-Data-Analyst-NLP-SCIO-Health-Analytics-Chennai-3-to-5-years-140818500181?src=jobsearchDesk&sid=15614536234655&xp=18&px=13,Chennai,"Apache, Python, Open source, Information security, Subject Matter Expert...",Data Analyst (NLP)
610,Collabera Technologies Private Limited,3-8 yrs,https://www.naukri.com/job-listings-Data-Analyst-Collabera-Technologies-Private-Limited-Hyderabad-Gachibowli-3-to-8-years-170619008803?src=jobsearchDesk&sid=15614536234655&xp=19&px=13,Hyderabad(Gachibowli),"Excel Powerpoint, MS SQL, MS Office, Word VBA, MS Access...",Data Analyst
611,Vertex Corporate Services (I) Pvt Ltd,2-6 yrs,https://www.naukri.com/job-listings-Data-Analyst-Reqd-at-Leading-Global-IT-Company-Chennai-Vertex-Corporate-Services-I-Pvt-Ltd-Chennai-2-to-6-years-170619007712?src=jobsearchDesk&sid=15614536234655&xp=20&px=13,Chennai,"logistic regression, r, sas sql, data analysis, analytics, machine learning...","Data Analyst Reqd. at Leading Global IT Company., Chennai"
612,ILABZ TECHNOLOGY LLP,3-8 yrs,https://www.naukri.com/job-listings-Guidewire-Tester-Tibco-with-Iprocess-Data-Analyst-Openings-ILABZ-TECHNOLOGY-LLP-Bengaluru-3-to-8-years-150619003357?src=jobsearchDesk&sid=15614536234655&xp=21&px=13,Bengaluru,"Guidewire testers, Tibco, Data Analyst",Guidewire Tester & Tibco with Iprocess & Data Analyst Openings
