,Company,Experience,Link,Location,Skills,Title
18,Cogencis Information Services Ltd,0-1 yrs,https://www.naukri.com/job-listings-Data-Analyst-Financial-Analyst-Chennai-Cogencis-Information-Services-Ltd-Chennai-0-to-1-years-210519003959?src=jobsearchDesk&sid=15614536082908&xp=19&px=1,Chennai,"Financial Analysis, Financial Statements, Finance, Data Analysis",Data Analyst/ Financial Analyst - Chennai
19,LIONTREE HR CONSULTANTS PVT. LTD.,2-7 yrs,https://www.naukri.com/job-listings-Data-Analyst-LIONTREE-HR-CONSULTANTS-PVT-LTD-Mumbai-2-to-7-years-240619004206?src=jobsearchDesk&sid=15614536082908&xp=20&px=1,Mumbai,"excel, sql, data analysis, ms access, database management, Data Mining...",Data Analyst
20,Huquo Consulting Pvt. Ltd,3-8 yrs,https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-assistant-Manager-SAS-Huquo-Consulting-Pvt-Ltd-Delhi-NCR-Gurgaon-3-to-8-years-240619901315?src=jobsearchDesk&sid=15614536082908&xp=21&px=1,"Delhi NCR, Gurgaon","SAS, Analytics, Statistics, Consulting - BFSI, Data Mining...",Business Analyst/senior Business Analyst/assistant Manager - SAS
21,Lowes Companies Inc,3-8 yrs,https://www.naukri.com/job-listings-Senior-Lead-Analyst-Analytics-Lowes-Companies-Inc-Bengaluru-3-to-8-years-240619903171?src=jobsearchDesk&sid=15614536082908&xp=22&px=1,Bengaluru,"Analytics, SQL, Python, Business Intelligence, Data Analytics...",Senior/ Lead Analyst - Analytics
22,Resource Weaver,2-7 yrs,https://www.naukri.com/job-listings-Data-Analyst-Cassandra-Mysql-Resource-Weaver-Navi-Mumbai-2-to-7-years-240619902879?src=jobsearchDesk&sid=15614536082908&xp=23&px=1,Navi Mumbai,"Cassandra, MySQL, Big Data, Hive, ElasticSearch, Data Mining, Oracle DB...",Data Analyst - Cassandra/ Mysql
23,Resource Weaver,4-9 yrs,https://www.naukri.com/job-listings-Data-Analyst-Python-java-Resource-Weaver-Navi-Mumbai-4-to-9-years-240619901970?src=jobsearchDesk&sid=15614536082908&xp=24&px=1,Navi Mumbai,"Java, ElasticSearch, Tableau, Data Visualization, Python, MySQL, Cassandra,...",Data Analyst - Python/java
24,Thomas Cook (India) Limited,2-4 yrs,https://www.naukri.com/job-listings-MIS-Executive-Marketing-Business-thomas-Cook-Mumbai-Location-Thomas-Cook-India-Limited-Mumbai-2-to-4-years-240619007842?src=jobsearchDesk&sid=15614536082908&xp=25&px=1,Mumbai,"VLOOKUP, HLOOKUP, Formulas, Lookup, Pivot Table, Advanced Excel, MIS...",MIS Executive - Marketing Business-thomas Cook || Mumbai Location
25,Red Hat India Pvt Ltd,5-7 yrs,https://www.naukri.com/job-listings-Financial-Analyst-Red-Hat-India-Pvt-Ltd-Pune-5-to-7-years-250619900412?src=jobsearchDesk&sid=15614536082908&xp=26&px=1,Pune,"sales planning, financial analysis, finance, sales analysis...",Financial Analyst
26,Pinnacle Solutions,2-6 yrs,https://www.naukri.com/job-listings-Senior-Data-Analyst-Ecommerce-Iit-nit-bits-Pinnacle-Solutions-Bengaluru-2-to-6-years-240619002148?src=jobsearchDesk&sid=15614536082908&xp=27&px=1,Bengaluru,"SQL, Excel, Javascript, XML, SAS, SPSS, Statistics, Data Analytics, Tableau...",Senior Data Analyst - Ecommerce - Iit/nit/bits
27,Dhruvan Services,1-6 yrs,https://www.naukri.com/job-listings-Data-Analyst-SQL-Queries-Gurgaon-Dhruvan-Services-Gurgaon-1-to-6-years-250619003220?src=jobsearchDesk&sid=15614536082908&xp=28&px=1,Gurgaon,"Data Analysis, Report Generation, SQL Queries, Data Analyst...",Data Analyst (SQL Queries) Gurgaon
